TimeStamp	SystemTimeStamp	Error	Behavior	EyeLeft	EyeRight	OnsetS	DurationS	VelocityDegps	AmplitudeDeg	DirectionRadial	
1503705623000	1495026685447	None	Saccade	(200.27, 154.05)	(219.83, 219.90)	1474.285	0.01660156	25.63867	0.8546224	198.2276	
1503722290000	1495043351960	None	Fixation	(198.81, 155.67)	(219.60, 219.85)	1474.069	0.25	NaN	NaN	NaN	
1503738956000	1495060017691	None	Fixation	(199.94, 154.28)	(219.45, 219.89)	1474.319	0.01660156	NaN	NaN	NaN	
1503755622000	1495076683652	None	Fixation	(199.79, 153.70)	(219.46, 219.50)	1474.319	0.0333252	NaN	NaN	NaN	
1503772289000	1495093350255	None	Fixation	(197.76, 154.21)	(219.38, 219.44)	1474.319	0.04992676	NaN	NaN	NaN	
1503788955000	1495110016395	None	Fixation	(200.01, 153.24)	(219.52, 219.23)	1474.319	0.06665039	NaN	NaN	NaN	
1503805622000	1495126682821	None	Fixation	(200.21, 153.61)	(219.79, 218.95)	1474.319	0.08337402	NaN	NaN	NaN	
1503822288000	1495143348582	None	WinkRight	(199.04, 153.54)	(219.64, 218.93)	NaN	NaN	NaN	NaN	NaN	
1503838955000	1495160015863	None	WinkRight	(198.52, 154.66)	(219.92, 218.87)	NaN	NaN	NaN	NaN	NaN	
1503855621000	1495176681125	None	WinkRight	(200.20, 153.51)	(219.91, 218.76)	NaN	NaN	NaN	NaN	NaN	
1503872288000	1495193347881	None	WinkRight	(199.22, 153.57)	(220.13, 218.45)	NaN	NaN	NaN	NaN	NaN	
1503888954000	1495210013824	None	WinkRight	(199.28, 153.70)	(219.76, 218.90)	NaN	NaN	NaN	NaN	NaN	
1503905621000	1495226680640	None	WinkRight	(197.32, 153.75)	(219.83, 218.80)	NaN	NaN	NaN	NaN	NaN	
1503922287000	1495243346533	None	WinkRight	(199.23, 153.06)	(220.32, 218.68)	NaN	NaN	NaN	NaN	NaN	
1503938954000	1495260012952	None	Fixation	(199.81, 152.73)	(220.33, 218.86)	1474.319	0.2166748	NaN	NaN	NaN	
1503955621000	1495276679742	None	Saccade	(197.37, 154.59)	(220.14, 219.30)	1474.535	0.01660156	37.77366	1.259122	39.64026	
1503972287000	1495293345494	None	WinkRight	(196.60, 155.14)	(220.72, 219.62)	NaN	NaN	NaN	NaN	NaN	
1503988954000	1495310012409	None	WinkRight	(194.22, 157.83)	(221.78, 221.38)	NaN	NaN	NaN	NaN	NaN	
1504005620000	1495326678058	None	Blink	(209.30, 161.28)	(224.03, 222.21)	NaN	NaN	NaN	NaN	NaN	
1504022287000	1495343345090	None	Blink	(0.00, 0.00)	(221.37, 220.97)	NaN	NaN	NaN	NaN	NaN	
1504038953000	1495360010865	None	Blink	(0.00, 0.00)	(0.00, 0.00)	NaN	NaN	NaN	NaN	NaN	
1504055620000	1495376677637	None	Blink	(0.00, 0.00)	(0.00, 0.00)	NaN	NaN	NaN	NaN	NaN	
1504072286000	1495393343123	None	Blink	(0.00, 0.00)	(202.30, 207.57)	NaN	NaN	NaN	NaN	NaN	
