0,1.234941,7497938746600,0.2,20.50151,88,0.9432462
1,1.557957,7505252797500,0.2,20.85436,288,0.7073379
2,0.5142758,7507490233100,0.2,23.44719,80,0.7429331
3,0.6905172,7509911803200,0.2,20.80341,64,0.7683583
4,0.265419,7511246722000,0.2,16.78516,96,0.85028
5,2.443543,7515438432800,0.2,17.44483,320,0.7075798
6,0.9757373,7518160187300,0.2,17.76227,112,0.8770775
7,2.022996,7521966784800,0.2,19.33314,72,0.9815465
8,0.991788,7524004179900,0.2,23.08833,208,0.7324636
9,1.112396,7526959854300,0.2,21.60994,176,0.9210387
10,0.2808293,7529030124300,0.2,22.90815,256,0.76609
11,0.3944121,7531133825700,0.2,18.3853,32,0.7060546
12,0.8949301,7533656185900,0.2,22.47307,224,0.9847258
13,0.2006354,7535725857700,0.2,18.19486,168,0.9518641
14,1.101865,7537863825000,0.2,16.03938,16,0.7676515
15,0.7888088,7539700349600,0.2,19.8054,240,0.8906997
16,0.4979105,7541988337900,0.2,16.28561,232,0.8360682
17,0.2325995,7543958397000,0.2,16.7454,144,0.794394
18,0.2550724,7545193909200,0.2,16.25583,352,0.7181264
19,0.416682,7547247545200,0.2,23.18175,216,0.8634633
20,0.2072618,7549201193000,0.2,16.82742,40,0.7501565
21,0.6489889,7551389257400,0.2,22.1142,184,0.8123775
22,1.57836,7554612247200,0.2,19.0904,272,0.9239131
23,0.7753796,7556481490400,0.2,19.79478,344,0.7724979
24,0.6810678,7559103611800,0.2,23.10895,152,0.8402746
25,0.6338043,7561858867300,0.2,18.08069,48,0.871845
26,1.190292,7564062667500,0.2,20.25633,296,0.847417
27,0.6394638,7567352201300,0.2,16.44217,336,0.763706
28,1.012871,7570391368500,0.2,21.22772,248,0.9334704
29,0.5584525,7572578350600,0.2,19.35975,0,0.8994465
30,0.3130257,7574381807000,0.2,17.16464,160,0.9671434
31,2.06564,7577487511400,0.2,21.67605,120,0.7245118
32,0.8948205,7581044189900,0.2,20.2603,200,0.7845892
33,0.3055435,7583248663500,0.2,22.31839,192,0.7189038
34,2.602736,7587439736300,0.2,23.86649,24,0.7440873
35,1.32248,7590511889400,0.2,18.24059,264,0.8341231
36,2.145714,7593701213200,0.2,20.70141,304,0.8726916
37,2.238259,7596974284200,0.2,16.63546,312,0.8015368
38,0.7775475,7598777805400,0.2,21.62041,328,0.7637295
39,0.305306,7600881283100,0.2,22.18427,8,0.8997089
40,0.8540913,7604171373300,0.2,21.80845,128,0.7239844
41,0.5938898,7606458558300,0.2,19.82652,136,0.9738336
42,0.6399732,7608947151700,0.2,17.79067,104,0.8119069
43,1.022381,7611117274200,0.2,20.61996,56,0.9019428
44,0.5694394,7613689176300,0.2,19.61604,280,0.8677292
