TimeStamp	SystemTimeStamp	Error	Behavior	EyeLeft	EyeRight	OnsetS	DurationS	VelocityDegps	AmplitudeDeg	DirectionRadial	
1596204698000	1587494740983	None	Fixation	(192.69, 157.97)	(206.90, 202.33)	1566.618	0.1166992	NaN	NaN	NaN	
1596221363000	1587511405693	None	Blink	(192.25, 158.48)	(207.35, 203.23)	NaN	NaN	NaN	NaN	NaN	
1596238030000	1587528072471	None	Blink	(186.46, 160.36)	(208.38, 202.66)	NaN	NaN	NaN	NaN	NaN	
1596254696000	1587544738233	None	Blink	(196.09, 169.84)	(193.62, 196.03)	NaN	NaN	NaN	NaN	NaN	
1596271363000	1587561405036	None	Blink	(0.00, 0.00)	(199.44, 200.83)	NaN	NaN	NaN	NaN	NaN	
1596288030000	1587578071817	None	Blink	(184.69, 167.95)	(213.10, 194.56)	NaN	NaN	NaN	NaN	NaN	
1596304697000	1587594738586	None	Blink	(168.27, 166.68)	(218.26, 183.96)	NaN	NaN	NaN	NaN	NaN	
1596321363000	1587611404329	None	Blink	(167.02, 166.71)	(221.07, 181.51)	NaN	NaN	NaN	NaN	NaN	
1596338030000	1587628071158	None	Blink	(167.88, 165.85)	(221.20, 180.86)	NaN	NaN	NaN	NaN	NaN	
1596354696000	1587644736874	None	Blink	(167.94, 164.94)	(221.49, 179.92)	NaN	NaN	NaN	NaN	NaN	
1596371363000	1587661403572	None	Blink	(168.64, 164.42)	(221.52, 179.55)	NaN	NaN	NaN	NaN	NaN	
1596388029000	1587678069332	None	Blink	(168.68, 163.93)	(221.67, 179.07)	NaN	NaN	NaN	NaN	NaN	
1596404696000	1587694736147	None	Blink	(168.70, 163.88)	(222.07, 178.65)	NaN	NaN	NaN	NaN	NaN	
1596421362000	1587711401910	None	Saccade	(168.58, 163.46)	(221.96, 178.38)	1566.734	0.2166748	304.1379	11.59804	54.65916	
1596438029000	1587728068952	None	Saccade	(168.64, 163.18)	(222.22, 178.18)	1566.734	0.2332764	3.594207	11.72683	55.07746	
1596454695000	1587744734447	None	Unknown	(168.31, 162.86)	(222.19, 177.98)	NaN	NaN	NaN	NaN	NaN	
1596471361000	1587761400146	None	Pursuit	(168.53, 162.76)	(222.13, 178.03)	1566.984	0.01660156	3.023592	0.1007864	231.2813	
1596488029000	1587778067956	None	Unknown	(168.37, 162.64)	(222.34, 177.90)	NaN	NaN	NaN	NaN	NaN	
1596504695000	1587794733825	None	Fixation	(168.26, 162.25)	(222.50, 177.74)	1567.018	0.01660156	NaN	NaN	NaN	
1596521362000	1587811400456	None	Fixation	(168.74, 162.36)	(222.21, 177.89)	1567.018	0.0333252	NaN	NaN	NaN	
1596538029000	1587828067289	None	Fixation	(168.38, 162.23)	(221.98, 177.76)	1567.018	0.04992676	NaN	NaN	NaN	
1596554695000	1587844733084	None	Fixation	(168.84, 162.14)	(221.66, 177.82)	1567.018	0.06665039	NaN	NaN	NaN	
1596571362000	1587861399733	None	Fixation	(168.98, 162.02)	(222.13, 177.95)	1567.018	0.08325195	NaN	NaN	NaN	
1596588029000	1587878066485	None	Fixation	(169.00, 161.94)	(222.01, 178.12)	1567.018	0.09997559	NaN	NaN	NaN	
1596604695000	1587894732320	None	Fixation	(169.23, 161.85)	(221.92, 178.36)	1567.018	0.1165771	NaN	NaN	NaN	
1596621362000	1587911399024	None	Fixation	(169.90, 161.89)	(221.72, 178.52)	1567.018	0.1333008	NaN	NaN	NaN	
1596638028000	1587928064907	None	Fixation	(169.71, 161.61)	(221.54, 178.67)	1567.018	0.1499023	NaN	NaN	NaN	
1596654695000	1587944731630	None	Fixation	(170.16, 161.62)	(221.01, 178.73)	1567.018	0.166626	NaN	NaN	NaN	
1596671362000	1587961398386	None	Fixation	(170.72, 162.09)	(220.79, 178.76)	1567.018	0.1833496	NaN	NaN	NaN	
1596688027000	1587978063457	None	Fixation	(171.40, 161.85)	(220.28, 179.21)	1567.018	0.1999512	NaN	NaN	NaN	
1596704694000	1587994729863	None	Saccade	(180.80, 158.31)	(217.00, 190.23)	1567.218	0.01672363	123.5404	4.715	222.9902	
1596721360000	1588011395869	None	Saccade	(188.81, 157.27)	(211.06, 200.49)	1567.218	0.0333252	99.34186	9.510193	229.3429	
1596738027000	1588028062822	None	Unknown	(189.92, 158.09)	(208.87, 200.85)	NaN	NaN	NaN	NaN	NaN	
1596754693000	1588044728449	None	Pursuit	(190.36, 157.88)	(209.13, 201.01)	1567.268	0.01660156	5.913216	0.1971072	230.6586	
1596771360000	1588061395257	None	Pursuit	(189.89, 157.92)	(209.22, 200.80)	1567.268	0.0333252	5.793112	0.07399754	154.6196	
1596788026000	1588078060675	None	Unknown	(189.88, 157.75)	(209.43, 200.71)	NaN	NaN	NaN	NaN	NaN	
1596804693000	1588094727763	None	Fixation	(189.79, 157.64)	(209.70, 200.77)	1567.318	0.01672363	NaN	NaN	NaN	
1596821358000	1588111392431	None	Fixation	(189.39, 157.47)	(209.96, 200.70)	1567.318	0.0333252	NaN	NaN	NaN	
1596838024000	1588128057991	None	Fixation	(189.64, 157.23)	(210.16, 200.54)	1567.318	0.05004883	NaN	NaN	NaN	
1596854693000	1588144726999	None	Fixation	(189.45, 157.16)	(210.23, 200.45)	1567.318	0.06665039	NaN	NaN	NaN	
1596871359000	1588161392834	None	Fixation	(188.96, 156.80)	(210.39, 200.45)	1567.318	0.08337402	NaN	NaN	NaN	
1596888026000	1588178059225	None	Fixation	(188.77, 156.77)	(210.79, 200.27)	1567.318	0.09997559	NaN	NaN	NaN	
1596904692000	1588194725021	None	Fixation	(188.86, 156.85)	(210.84, 200.17)	1567.318	0.1166992	NaN	NaN	NaN	
1596921359000	1588211391768	None	Fixation	(188.51, 156.74)	(211.12, 199.82)	1567.318	0.1334229	NaN	NaN	NaN	
1596938025000	1588228057546	None	Fixation	(188.85, 156.74)	(211.08, 199.84)	1567.318	0.1500244	NaN	NaN	NaN	
1596954692000	1588244724369	None	Blink	(187.43, 157.43)	(211.40, 200.72)	NaN	NaN	NaN	NaN	NaN	
1596971359000	1588261391401	None	Blink	(184.37, 161.22)	(210.64, 201.29)	NaN	NaN	NaN	NaN	NaN	
1596988024000	1588278056050	None	Blink	(0.00, 0.00)	(0.00, 0.00)	NaN	NaN	NaN	NaN	NaN	
1597004691000	1588294722601	None	Blink	(0.00, 0.00)	(0.00, 0.00)	NaN	NaN	NaN	NaN	NaN	
1597021355000	1588311386390	None	Blink	(0.00, 0.00)	(0.00, 0.00)	NaN	NaN	NaN	NaN	NaN	
1597038022000	1588328053129	None	Blink	(0.00, 0.00)	(0.00, 0.00)	NaN	NaN	NaN	NaN	NaN	
1597054690000	1588344720871	None	Blink	(0.00, 0.00)	(0.00, 0.00)	NaN	NaN	NaN	NaN	NaN	
1597071357000	1588361387972	None	Blink	(179.65, 164.63)	(220.46, 181.85)	NaN	NaN	NaN	NaN	NaN	
1597088023000	1588378053426	None	Blink	(165.55, 165.31)	(223.57, 180.36)	NaN	NaN	NaN	NaN	NaN	
1597104690000	1588394720234	None	Blink	(166.70, 165.34)	(222.60, 179.77)	NaN	NaN	NaN	NaN	NaN	
1597121357000	1588411387031	None	Blink	(166.95, 164.73)	(222.51, 178.88)	NaN	NaN	NaN	NaN	NaN	
1597138023000	1588428052730	None	Blink	(167.28, 164.14)	(222.31, 178.12)	NaN	NaN	NaN	NaN	NaN	
1597154690000	1588444719480	None	Blink	(167.66, 163.90)	(222.12, 177.68)	NaN	NaN	NaN	NaN	NaN	
1597171356000	1588461385215	None	Blink	(167.55, 163.35)	(222.34, 177.11)	NaN	NaN	NaN	NaN	NaN	
1597188023000	1588478052009	None	Saccade	(167.96, 163.22)	(222.60, 176.82)	1567.468	0.25	268.9969	10.55296	49.68002	
1597204689000	1588494717818	None	Saccade	(167.86, 162.98)	(222.26, 176.68)	1567.468	0.2667236	4.46801	10.54684	38.76869	
1597221356000	1588511384705	None	Pursuit	(168.27, 162.89)	(222.07, 176.65)	1567.734	0.01660156	5.08317	0.169439	245.6071	
1597238022000	1588528050290	None	Pursuit	(168.39, 162.78)	(221.64, 176.47)	1567.734	0.0333252	2.036233	0.2289967	236.127	
1597254689000	1588544717013	None	Unknown	(168.59, 162.83)	(221.20, 176.27)	NaN	NaN	NaN	NaN	NaN	
1597271355000	1588561382820	None	Fixation	(168.98, 162.90)	(221.31, 176.29)	1567.784	0.01672363	NaN	NaN	NaN	
1597288020000	1588578047583	None	Fixation	(169.37, 162.83)	(0.00, 0.00)	1567.784	0.0333252	NaN	NaN	NaN	
1597304687000	1588594714345	None	Fixation	(168.74, 162.46)	(220.38, 176.24)	1567.784	0.05004883	NaN	NaN	NaN	
1597321353000	1588611380110	None	Fixation	(169.80, 162.67)	(220.23, 176.41)	1567.784	0.06665039	NaN	NaN	NaN	
1597338020000	1588628046883	None	Fixation	(169.93, 162.62)	(219.65, 176.47)	1567.784	0.08337402	NaN	NaN	NaN	
1597354687000	1588644713645	None	Fixation	(170.47, 162.80)	(219.58, 176.47)	1567.784	0.09997559	NaN	NaN	NaN	
